IMT,T_equiv,median,sigma
pga,0,NaN,0.48375
0.01,0.01,NaN,0.48375
0.02,0.02,NaN,0.48375
0.03,0.03,NaN,0.4935
0.04,0.04,NaN,0.5
0.05,0.05,NaN,0.50575
0.075,0.075,NaN,0.5135
0.1,0.1,NaN,0.518
0.15,0.15,NaN,0.52225
0.2,0.2,NaN,0.52475
0.25,0.25,NaN,0.52575
0.3,0.3,NaN,0.527
0.4,0.4,NaN,0.52775
0.5,0.5,NaN,0.5295
0.75,0.75,NaN,0.53
1,1,NaN,0.52575
1.5,1.5,NaN,0.51425
2,2,NaN,0.50425
3,3,NaN,0.50675
4,4,NaN,0.5075
5,5,NaN,0.52425
7.5,7.5,NaN,0.57725
10,10,NaN,0.612
pgv,-1,NaN,0.48375
