IMT,T_equiv,median
pga,0,0.34594333
0.01,0.01,0.34840828
0.02,0.02,0.35275626
0.03,0.03,0.3636865
0.04,0.04,0.3618139
0.05,0.05,0.37074485
0.075,0.075,0.41871205
0.1,0.1,0.48244083
0.15,0.15,0.6102633
0.2,0.2,0.7005922
0.25,0.25,0.76621443
0.3,0.3,0.7815006
0.4,0.4,0.7589617
0.5,0.5,0.68726826
0.75,0.75,0.5365496
1,1,0.42963704
1.5,1.5,0.28762677
2,2,0.21486695
3,3,0.13514185
4,4,0.09396994
5,5,0.06880819
7.5,7.5,0.036262725
10,10,0.021969572
pgv,-1,43.90116
